Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,5.6,0.0,6.4,12.0,0.7333333333333333,0.4666666666666666,1.0,1.0,0.5333333333333333,0.0,0.3466666666666666,0.0,0.0,5.0
Pval<0.01,3.8,0.0,8.2,12.0,0.6583333333333334,0.3166666666666667,1.0,1.0,0.6833333333333333,0.0,0.4045112781954887,0.0,0.0,3.0
Pval<0.005,2.6,0.0,9.4,12.0,0.6083333333333334,0.2166666666666667,1.0,0.6,0.7833333333333334,-0.2,0.4360218728639781,0.0,0.0,3.0
Chi>3.84,5.6,0.0,6.4,12.0,0.7333333333333333,0.4666666666666666,1.0,1.0,0.5333333333333333,0.0,0.3466666666666666,0.0,0.0,10.0
Chi>7.68,2.8,0.0,9.2,12.0,0.6166666666666666,0.2333333333333333,1.0,1.0,0.7666666666666666,0.0,0.43130434782608695,0.0,0.0,4.0
Chi>15.36,2.2,0.0,9.8,12.0,0.5916666666666666,0.18333333333333332,1.0,1.0,0.8166666666666667,0.0,0.44844720496894414,0.0,0.0,3.0
TP-2FP>2,5.0,4.8,7.0,7.2,0.5083333333333333,0.41666666666666663,0.6,0.3813664596273291,0.5833333333333333,0.018633540372670777,0.6756521739130434,0.0,0.0,3.0
TP-2FP>3,2.8,2.4,9.2,9.6,0.5166666666666667,0.23333333333333334,0.8,-0.3,0.7666666666666667,-0.5,0.19090909090909092,0.0,0.0,1.0
TP-2FP>4,2.8,2.4,9.2,9.6,0.5166666666666667,0.23333333333333334,0.8,-0.3,0.7666666666666667,-0.5,0.19090909090909092,0.0,0.0,1.0
TP3_FP0,6.8,7.2,5.2,4.8,0.4833333333333334,0.5666666666666667,0.4,-0.10909090909090909,0.4333333333333334,-0.09090909090909091,0.0,0.0,0.0,1.0
TP4_FP0,6.8,7.2,5.2,4.8,0.4833333333333333,0.5666666666666667,0.4,-0.10909090909090909,0.4333333333333333,-0.09090909090909091,0.0,0.0,0.0,1.0
FP=0,2.4,2.4,9.6,9.6,0.5,0.2,0.8,-0.32,0.8,-0.48,0.58,0.0,0.0,3.0
All,7.2,0.0,4.8,12.0,0.8,0.5999999999999999,1.0,1.0,0.39999999999999997,0.0,0.2833333333333333,0.0,0.0,28.0
