egID	Symbol	mutation_rate	expr_logFC	expr_adjpv	expr_SCNA_cor_r	expr_SCNA_cor_p	expr_met_cor_r	expr_met_cor_p
8289	ARID1A	33.5	0.073	0.602	0.296	0	-0.166	0
10664	CTCF	17.7	-0.308	3.01e-05	0.358	0	-0.164	0
1108	CHD4	14.1	0.223	0.0097	0.339	0	-0.245	0
6872	TAF1	14.1	-0.668	6.9e-10	0.107	0.013	-0.173	0
8085	KMT2D	13.3	-0.251	0.0295	0.288	0	-0.058	0.214
9757	KMT2B	12.1	0.127	0.2	0.467	0	-0.137	0.003
58508	KMT2C	10.5	-0.536	5.24e-05	0.329	0	-0.086	0.064
23269	MGA	10.5	-0.364	0.000139	0.136	0.002	-0.183	0
8295	TRRAP	10.5	-0.028	0.815	0.36	0	-0.093	0.046
1107	CHD3	10.5	-0.374	0.000717	0.433	0	-0.268	0
57634	EP400	10.1	-0.225	0.00541	0.461	0	-0.036	0.44
546	ATRX	9.7	-0.674	8.75e-08	0.062	0.151	-0.092	0.047
64324	NSD1	9.7	0.078	0.391	0.324	0	-0.173	0
55870	ASH1L	9.3	-0.866	5.9e-11	0.471	0	-0.249	0
29994	BAZ2B	9.3	-0.738	9.77e-09	0.293	0	-0.323	0
54014	BRWD1	8.9	-0.411	7.86e-05	0.343	0	-0.119	0.01
254065	BRWD3	8.9	0.836	2.48e-07	0.109	0.012	-0.136	0.003
1387	CREBBP	8.9	-0.633	1.03e-08	0.371	0	-0.014	0.768
25836	NIPBL	8.9	-0.364	6.46e-05	0.456	0	-0.242	0
29072	SETD2	8.9	-0.215	0.00829	0.431	0	-0.077	0.099
138474	TAF1L	8.9	-0.144	0.637	0.1	0.021	-0.062	0.183
80312	TET1	8.9	0.14	0.523	0.287	0	-0.404	0
80816	ASXL3	8.5	-3.607	2.62e-16	0.107	0.013	-0.267	0
26038	CHD5	8.5	-1.642	1.08e-06	-0.028	0.516	-0.248	0
2033	EP300	8.5	-0.251	0.0598	0.423	0	0.056	0.229
