row,log2FoldChange,pvalue,padj
CDKN2A|1029,1.111121995,3.52e-08,6.77e-07
UHRF1|29128,0.521529465,2.46e-08,4.97e-07
HMGA1|3159,0.442439443,3.53e-07,4.88e-06
CENPM|79019,0.419834264,0.00013107,0.000794523
HJURP|55355,0.365433368,5.51e-06,5.18e-05
CENPA|1058,0.275304358,0.001368205,0.00575665
CENPW|387103,0.248383906,0.008901184,0.027364469
DOT1L|84444,0.238644402,0.000306004,0.001633165
LMNB2|84823,0.233878059,0.000955161,0.004225018
ELP3|55140,0.231984716,0.002287868,0.008842828
C14orf106|55320,0.227019484,0.000433806,0.002193491
TET2|54790,0.214441639,0.003798862,0.013453099
INTS12|57117,0.143606533,0.007745779,0.024478523
MTA2|9219,0.140217985,0.001271646,0.005402673
BRD8|10902,0.139027518,0.012979028,0.037367493
BRPF3|27154,-0.159412214,0.016978861,0.046538275
DNMT3A|1788,-0.189626492,0.010284591,0.030807558
FTO|79068,-0.22825938,1.36e-05,0.000113231
PHF20|51230,-0.311383935,3.13e-06,3.2e-05
CHD6|84181,-0.321832959,0.000112222,0.00069502
TDRKH|11022,-0.34639251,1.65e-05,0.000134038
DIDO1|11083,-0.37493399,4.67e-08,8.55e-07
ZGPAT|84619,-0.378005595,6.11e-07,7.79e-06
ASXL1|171023,-0.380326224,7.72e-08,1.32e-06
HDAC5|10014,-0.383895719,2.43e-06,2.57e-05
CBX7|23492,-0.430421996,3.47e-06,3.48e-05
SATB2|23314,-0.481219979,0.000847785,0.003829683
L3MBTL|26013,-0.619254315,0.000189965,0.001092279
TDRD10|126668,-0.876689532,3.95e-07,5.37e-06
PRDM6|93166,-1.043862237,9.66e-08,1.59e-06
ESR1|2099,-1.267283011,1.28e-09,4e-08
AIRE|326,-2.163074642,8.16e-13,6.88e-11
