mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PIWIL1|9271,308.6720329,1.807187681,0.324030002,5.577223312,2.44e-08,4.94e-07
PRMT8|56341,1.223675454,1.42960921,0.420922294,3.3963732269999998,0.000682852,0.003189832
CDKN2A|1029,289.95432539999996,1.111121995,0.20153060899999997,5.513415553,3.52e-08,6.77e-07
DPF1|8193,18.23991104,0.9794810970000001,0.231285606,4.2349418739999996,2.2899999999999998e-05,0.000178375
FOXA1|3169,1119.042459,0.74353451,0.182760918,4.0683452319999995,4.73e-05,0.000331189
PRDM16|63976,151.50884109999998,0.67162083,0.221730553,3.028995422,0.002453684,0.009349995
HIST1H3A|8350,1.5251845769999999,0.628118753,0.222180458,2.8270657089999998,0.004697669,0.016080791
APOBEC1|339,233.7209693,0.60240806,0.18673094399999998,3.2260751610000002,0.0012550039999999999,0.005343319
PRDM8|56978,147.531756,0.582547929,0.20841615800000002,2.795118838,0.005188064,0.017510701
UHRF1|29128,1241.212641,0.521529465,0.09353376099999999,5.575841895,2.46e-08,4.970000000000001e-07
MLF1IP|79682,1308.126965,0.46015123,0.10226108099999999,4.499768872,6.8e-06,6.21e-05
HMGA1|3159,19593.6442,0.442439443,0.08687290199999999,5.092951114,3.53e-07,4.88e-06
ANP32E|81611,3078.150364,0.42347421799999996,0.080626908,5.252269136000001,1.5e-07,2.33e-06
CENPM|79019,846.7963784,0.419834264,0.10977666300000001,3.824440021,0.00013107,0.000794523
CASC5|57082,642.6792455,0.407338149,0.10059278,4.049377606,5.14e-05,0.00035474199999999996
ORC1L|4998,702.0954096,0.406533586,0.097090093,4.187178853,2.8199999999999998e-05,0.000214275
INO80C|125476,650.7229532,0.39803850700000004,0.068407119,5.818670807,5.93e-09,1.4599999999999998e-07
NPM3|10360,1758.4330690000002,0.375623255,0.09753741699999999,3.85106832,0.000117604,0.000724088
HELLS|3070,592.8221706,0.37560966100000004,0.08650578800000001,4.342017693,1.4099999999999999e-05,0.000117005
NPM1|4869,31121.393819999998,0.368581923,0.073097679,5.042320443,4.6e-07,6.09e-06
SOX9|6662,12016.0598,0.36819957299999995,0.082453752,4.465528414,7.99e-06,7.140000000000001e-05
HJURP|55355,1258.572744,0.365433368,0.080413126,4.544449205,5.51e-06,5.18e-05
CENPK|64105,528.9471555,0.36017844600000004,0.10413616199999999,3.458725947,0.000542737,0.0026356609999999996
CENPV|201161,1161.182958,0.345883306,0.08901816300000001,3.885536338,0.000102104,0.000641495
PRMT5|10419,3727.268785,0.34345983799999996,0.06480248599999999,5.300102792,1.1599999999999999e-07,1.86e-06
ING2|3622,379.8464526,0.34125615299999995,0.06076916,5.615614116000001,1.96e-08,4.0899999999999997e-07
CENPI|2491,243.4730616,0.33646430899999996,0.100716721,3.340699592,0.000835676,0.003786958
HNRNPC|3183,21271.20802,0.331898148,0.04609615,7.200127301,6.02e-13,5.21e-11
RAD54L|8438,790.5224022000001,0.32649842100000004,0.090555695,3.6054985,0.000311554,0.001657479
SP140L|93349,778.7812451,0.308326635,0.094152994,3.274740632,0.00105759,0.0046097840000000005
LMNB1|4001,4748.002165999999,0.305491721,0.074075202,4.124075414,3.72e-05,0.000270192
YEATS4|8089,1097.575327,0.293414856,0.07023040900000001,4.177889029,2.94e-05,0.00022186900000000003
PHF17|79960,854.2903646999999,0.288705609,0.075883736,3.804578227,0.000142046,0.000850745
ZMYM1|79830,528.7105393999999,0.284237907,0.056497189,5.031009711,4.879999999999999e-07,6.4e-06
PRMT1|3276,7371.030620999999,0.283130724,0.06862631400000001,4.125687495,3.7e-05,0.000268501
WHSC1|7468,5229.684818,0.278820196,0.06853983400000001,4.068002229,4.74e-05,0.00033156099999999997
EZH2|2146,1567.3650619999999,0.277824665,0.073937448,3.7575636360000004,0.000171576,0.001000342
CENPA|1058,555.1423083999999,0.275304358,0.085998324,3.201275873,0.001368205,0.00575665
SMCHD1|23347,1955.057556,0.27326217,0.088753176,3.078900182,0.002077663,0.008177347
CXXC1|30827,1631.2728960000002,0.271062564,0.06041593,4.486607449,7.24e-06,6.55e-05
TDG|6996,1145.773963,0.26746620000000004,0.05643814,4.739103723,2.15e-06,2.33e-05
CLOCK|9575,629.2842301,0.262240541,0.082894263,3.1635547760000002,0.00155855,0.006415786
APITD1|378708,566.8134044,0.25942272,0.067357513,3.8514296189999997,0.00011743,0.000723243
OIP5|11339,375.7648646,0.257955499,0.101910591,2.531194229,0.011367488,0.033484612000000004
HDAC1|3065,11533.49877,0.257944033,0.05513749,4.678196869,2.89e-06,2.99e-05
ITGB3BP|23421,529.9472134,0.250968792,0.076163182,3.2951458110000003,0.000983706,0.00432926
CENPW|387103,1023.792042,0.24838390600000002,0.09495428300000001,2.61582626,0.008901184,0.027364469
C14orf138|79609,232.2246824,0.243234612,0.058750987000000005,4.140094034,3.47e-05,0.000254867
DNMT1|1786,4891.903232,0.240472503,0.067459857,3.564675544,0.00036430699999999997,0.001894773
DOT1L|84444,2440.336913,0.238644402,0.066103487,3.610163571,0.000306004,0.001633165
BEND3|57673,643.6895099,0.23490020600000003,0.06370435299999999,3.687349348,0.000226602,0.0012654539999999998
RBBP4|5928,7159.503341,0.234779789,0.04871240599999999,4.8197124780000005,1.44e-06,1.65e-05
PRMT10|90826,318.5896132,0.23426717,0.050241505,4.6628215,3.12e-06,3.19e-05
LMNB2|84823,8489.467374,0.23387805899999997,0.070798946,3.303411568,0.000955161,0.004225018
ELP3|55140,1442.982814,0.231984716,0.076058778,3.0500715639999996,0.0022878679999999998,0.008842828
NASP|4678,5172.091111,0.23196839800000002,0.065186858,3.558514778,0.000372958,0.00193173
PIH1D1|55011,2542.911952,0.22965371,0.060223507,3.81335661,0.000137092,0.0008260219999999999
