mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MUC6|4588,968.9636788,4.494741592,0.429999494,10.45289973,1.42E-25,2.84E-22
TTC29|83894,4.883498475,3.785865929,0.633650429,5.974691655,2.31E-09,6.44E-08
SLC26A9|115019,69.37326425,3.523186504,0.350143598,10.06211887,8.12E-24,1.35E-20
CLDN18|51208,1070.689679,3.396905616,0.488834983,6.948982244,3.68E-12,2.48E-10
ONECUT3|390874,14.22300328,3.295265032,0.61418625,5.365253671,8.08E-08,1.38E-06
PSAPL1|768239,15.10973941,3.235765264,0.47061889,6.875553311,6.17E-12,3.90E-10
GP2|2813,236.915016,3.22061368,0.461502239,6.978543992,2.98E-12,2.06E-10
CALB1|793,119.3537289,3.028251799,0.405353722,7.470640164,7.98E-14,8.67E-12
MLN|4295,1.019349604,2.998793435,1.140360754,2.62968839,0.008546316,0.026485237
NMUR2|56923,21.14670892,2.943091049,0.419280966,7.019376711,2.23E-12,1.60E-10
EMX1|2016,41.45607096,2.809574707,0.333018275,8.43669827,3.26E-17,9.74E-15
C1orf110|339512,4.047895081,2.698550698,0.569983861,4.73443352,2.20E-06,2.38E-05
CIB4|130106,1.029986129,2.641870621,0.656786975,4.022416281,5.76E-05,0.000391559
ZNF479|90827,1.23940053,2.495066083,1.046097102,2.385119008,0.017073597,0.046740287
GABRP|2568,541.4292029,2.475956493,0.330519373,7.491108527,6.83E-14,7.59E-12
NEUROG3|50674,19.54709949,2.473278934,0.41159069,6.009074051,1.87E-09,5.43E-08
FEZF1|389549,80.66054698,2.468917377,0.353412698,6.985932848,2.83E-12,1.99E-10
TRY6|154754,85.98833133,2.468180323,0.455768813,5.415421708,6.11E-08,1.07E-06
SEMG1|6406,72.63790391,2.450833966,0.392411405,6.245572724,4.22E-10,1.50E-08
ANXA10|11199,86.58785153,2.42372148,0.629177391,3.852206889,0.000117058,0.000721395
EN2|2020,48.10806098,2.408240987,0.352829715,6.825505002,8.76E-12,5.31E-10
CCK|885,14.44135919,2.342801271,0.454364304,5.156217714,2.52E-07,3.66E-06
C17orf78|284099,33.51997345,2.304530939,0.466933247,4.935461238,8.00E-07,9.82E-06
DEFA6|1671,735.1890864,2.29526891,0.391647965,5.860540884,4.61E-09,1.17E-07
SEMG2|6407,4.603883298,2.278347457,0.591812768,3.849777463,0.000118225,0.000727243
VNN1|8876,868.6560959,2.272568492,0.264074824,8.605774898,7.58E-18,2.52E-15
CCL25|6370,29.14425652,2.218485282,0.402773683,5.508019454,3.63E-08,6.96E-07
NXF3|56000,79.29800764,2.202810084,0.443886109,4.962556924,6.96E-07,8.69E-06
ZIC5|85416,133.2364936,2.161670196,0.418390705,5.166630546,2.38E-07,3.49E-06
LOC400891|400891,0.819502958,2.156402601,0.497935818,4.330683841,1.49E-05,0.000122583
SP9|100131390,2.24151098,2.125911427,0.600169481,3.542185155,0.000396827,0.002035804
PON1|5444,8.107815314,2.083073473,0.404595688,5.148531076,2.63E-07,3.80E-06
HESRG|790952,3.093676857,2.069415657,0.437541127,4.729648321,2.25E-06,2.43E-05
TRPV6|55503,53.10802612,2.062984791,0.392683826,5.25355173,1.49E-07,2.32E-06
PRSS1|5644,96.86450047,2.051827908,0.411740017,4.983309427,6.25E-07,7.92E-06
C2orf65|130951,20.18793807,2.051675029,0.290765646,7.056112224,1.71E-12,1.28E-10
MSH4|4438,5.688138569,2.02155589,0.29256763,6.909704567,4.86E-12,3.12E-10
MIA|8190,174.8303249,2.013556091,0.301035385,6.688768791,2.25E-11,1.17E-09
FOXD1|2297,172.4738528,2.005081307,0.295858793,6.777156383,1.23E-11,6.94E-10
DMBX1|127343,43.2889708,1.983640987,0.268274078,7.394083704,1.42E-13,1.46E-11
TCN1|6947,1633.47797,1.974601186,0.363417879,5.433417835,5.53E-08,9.92E-07
RTBDN|83546,7.2489534,1.899148525,0.30817709,6.162523379,7.16E-10,2.39E-08
TPRXL|348825,60.97906359,1.898353127,0.289396866,6.559687928,5.39E-11,2.48E-09
PRSS21|10942,90.31325534,1.89467795,0.43087686,4.397260858,1.10E-05,9.39E-05
AQP5|362,347.3791708,1.893540451,0.42287807,4.477745677,7.54E-06,6.79E-05
CTSE|1510,3394.897798,1.892351674,0.354635582,5.336045706,9.50E-08,1.57E-06
CGB8|94115,1.078744245,1.852746366,0.661787072,2.799611,0.005116422,0.017309797
PIWIL1|9271,308.6720329,1.807187681,0.324030002,5.577223312,2.44E-08,4.94E-07
CGB5|93659,3.354761696,1.80643841,0.482016422,3.747669846,0.000178485,0.001035492
SPRR3|6707,28.86522434,1.778469027,0.499364271,3.561466311,0.000368789,0.001914106
PLA2G3|50487,117.5198501,1.759298939,0.384257088,4.578442381,4.68E-06,4.49E-05
CEACAM20|125931,1.957748729,1.758479918,0.508994924,3.454808355,0.000550684,0.002668423
TNNT1|7138,231.839669,1.753591117,0.356918992,4.913134792,8.96E-07,1.09E-05
TFF2|7032,288.8108404,1.739851272,0.330470561,5.264769328,1.40E-07,2.20E-06
C14orf105|55195,14.71192768,1.725389835,0.429632148,4.01597004,5.92E-05,0.000400107
PAX9|5083,104.4031966,1.704462203,0.208358699,8.180422555,2.83E-16,6.43E-14
KRT6B|3854,837.5260214,1.678522753,0.309363535,5.425729161,5.77E-08,1.03E-06
ZIC2|7546,303.0955266,1.670314771,0.347329435,4.809021644,1.52E-06,1.73E-05
REG3A|5068,3324.221058,1.669946396,0.417537666,3.999510784,6.35E-05,0.000425526
DRGX|644168,3.297092399,1.659200103,0.592855824,2.798657002,0.005131562,0.017346343
CYP4Z1|199974,2.025599512,1.655755959,0.400868928,4.130417312,3.62E-05,0.000264265
AMH|268,54.66092706,1.652141792,0.260070298,6.352673883,2.12E-10,8.11E-09
AIPL1|23746,0.399383179,1.645201741,0.656757366,2.505037366,0.012243846,0.035646008
CYMP|643160,0.615622372,1.63517239,0.654361978,2.498880504,0.012458631,0.036129308
