Hybridization REF,ACVR2A|92,ADNP2|22850,AFF1|4299,BCOR|54880,BLNK|29760,BTBD11|121551,CNTLN|54875,CSNK1G1|53944,CTCF|10664,CTNNA2|1496,DOCK3|1795,DONSON|29980,DRD5|1816,ESF1|51575,ESRP1|54845,G3BP1|10146,GPAT2|150763,HAS2|3037,JAK1|3716,KCNA4|3739,KCNH7|90134,KRAS|3845,MAGI1|9223,MESDC1|59274,MUM1L1|139221,NCOA3|8202,PAPD5|64282,PCDH9|5101,PIK3CA|5290,POF1B|79983,PTEN|5728,RNF43|54894,RPL22|6146,SIKE1|80143,SOX17|64321,ZBTB20|26137,ZMIZ1|57178,ZNF609|23060,ZNF626|199777,Class
TCGA-A5-A1OH-01A-21R-A22K-07,1081.6327,578.1076,1381.0761,1116.8831,23.3766,533.5807,282.3748,517.2542,1482.7458,82.7458,40.8163,334.7681,56.4007,1174.0260,96.4750,2595.9184,17.4397,98.1521,1532.4675,12.6160,1.8553,2123.9332,486.0853,736.5492,273.8404,917.9963,298.3302,415.2134,376.9944,11.5028,1310.5751,773.6549,10222.6345,1183.3024,1263.4508,2.9685,4516.1410,1207.7922,408.1633,0
TCGA-A5-A2K2-01A-11R-A18M-07,234.9968,786.3550,3220.7202,1040.0505,405.8117,12.1289,252.6848,576.1213,1077.9533,12.6342,166.2666,216.5711,0.5054,487.6816,1749.0840,2966.0139,4.5483,3.0322,2275.1737,0.0000,0.5054,733.7966,788.8819,462.4131,4.5483,3326.8478,337.0815,3.0322,394.6936,3.5376,1212.8869,291.0929,11350.6001,623.1207,2749.2104,8.0859,1986.1023,715.0979,74.7947,0
TCGA-A5-A2K3-01A-11R-A32Y-07,188.7142,362.6272,1175.7632,469.0102,490.2868,70.3053,87.8816,304.3478,975.9482,0.0000,8.3256,191.1193,0.0000,403.3302,827.0120,1445.8834,12.0259,8.3256,2118.4089,0.0000,0.9251,646.6235,51.8039,588.3441,0.0000,1690.1018,233.1175,1.8501,134.1351,7.4006,1222.0167,23.1267,9155.4117,426.4570,1083.2562,10.1758,769.6577,339.5005,44.4033,2
TCGA-A5-A2K4-01A-11R-A18M-07,288.0259,584.1424,1111.6505,753.5059,612.7292,26.9687,219.5254,495.1456,915.8576,61.4887,175.8360,332.2762,0.5394,452.5351,2710.8954,3042.0712,11.3269,36.1381,4135.3830,0.0000,7.0119,1049.0831,629.9892,592.2330,64.7249,2422.8695,277.7778,14.5631,353.8296,180.6904,1666.6667,386.7314,5986.5156,952.5351,1783.7109,16.1812,1987.5944,735.1672,714.1316,0
TCGA-A5-A2K5-01A-11R-A180-07,201.7837,295.9866,610.3679,168.3389,250.2787,12.8205,69.1193,600.8919,887.9599,3067.4470,17.2798,172.9543,0.0000,59.6433,1612.5975,1108.6957,15.0502,1.6722,693.4225,0.0000,0.0000,399.6656,289.8551,498.8852,3.9019,298.7737,224.6377,2.7871,64.1026,5.5741,584.1695,1206.2430,11889.0747,496.6555,11690.6355,0.0000,473.8016,795.4292,35.6745,1
TCGA-A5-A2K7-01A-11R-A180-07,337.4169,978.1822,1824.7579,815.3074,497.9582,13.0673,223.0778,487.6911,1441.6054,46.2023,8.4004,367.1030,1.4001,194.6097,413.4873,2342.3171,645.4323,302.5831,1890.5612,0.0000,0.0000,672.5003,304.7486,634.6984,26.1346,805.9736,405.5536,27.0680,132.5400,6.0670,1436.9385,608.5638,7137.0902,592.6963,7102.5551,3.2668,1243.2622,552.0943,5.1336,1
TCGA-A5-A3LO-01A-11R-A22K-07,344.0076,531.7058,1194.9905,987.0006,101.4585,554.5339,129.6766,811.3507,1168.0406,65.6309,23.7793,1177.8091,0.0000,523.7793,4146.4807,2501.2682,5.3900,12.9994,2085.2885,0.3171,0.6341,1491.1224,329.7400,910.5897,12.3653,1301.5219,596.0685,0.3171,276.7914,130.6278,766.3285,409.3215,4826.5694,1055.1680,5025.9987,0.9512,2154.4071,931.1985,635.3836,2
TCGA-A5-A3LP-01A-11R-A22K-07,363.7882,392.2092,5039.2537,688.6616,147.3517,153.0359,114.5583,439.8689,1107.5427,13.9919,209.8778,261.6827,5.2469,582.4109,3459.4859,3686.8536,4.3725,5.2469,4578.8343,0.0000,0.0000,587.2206,358.9785,234.8008,8.3077,2142.9399,826.3939,0.0000,582.8482,4.3725,1407.4931,39.7893,3295.5189,582.8482,905.0981,8.3077,1233.9066,781.3576,3.4980,0
TCGA-AJ-A23N-01A-11R-A22K-07,520.0142,746.3691,1098.1226,1293.6592,134.6086,89.2667,196.2451,475.7350,1507.9702,94.2260,29.0471,495.9263,0.0000,428.6220,2250.0886,2812.2565,4.9593,102.9685,2741.7641,1.4169,0.7085,1487.7790,385.0514,493.0925,113.7088,1392.8445,219.6245,10.9812,691.4630,150.5491,1835.6358,529.2242,5676.9394,1131.0662,5204.3925,3.5423,2186.6808,910.0248,303.9320,0
TCGA-AJ-A2QM-01A-11R-A18M-07,264.9601,352.0826,854.6087,1093.0729,224.9916,80.3862,225.4407,426.6307,1083.6421,44.4594,105.5350,301.0890,18.8616,341.3046,2648.7033,2093.1851,4.0418,305.6697,2779.8361,0.4491,0.0000,789.0423,536.2075,416.7509,30.9869,1421.8031,252.8348,4.9399,575.7270,0.0000,649.3769,290.5580,4445.4923,1149.6576,3315.1454,7.1854,16244.7513,791.7368,7.6344,0
TCGA-AJ-A2QO-01A-11R-A32Y-07,222.2008,498.7003,1476.8461,812.9393,291.1331,1288.9188,100.1252,980.0751,1766.8239,2.6957,6.5466,232.5907,0.0000,353.9039,1727.9291,2987.5806,3.4659,5.7765,385.4819,0.0000,0.0000,1170.3090,638.8755,467.1224,7.7019,1635.1208,1047.8483,0.3851,315.3942,61.6155,2090.6903,226.8220,6681.4287,645.8073,3960.3350,3.8510,2058.7273,690.4785,255.7042,1
TCGA-AJ-A3BD-01A-11R-A19W-07,154.5846,292.1334,885.2335,528.1115,237.2401,23.9764,87.0722,247.9663,845.4832,23.3454,46.0599,326.9685,0.0000,83.2864,1764.7885,1667.6210,41.6432,2.5238,1230.3674,0.0000,0.0000,1285.2607,237.8710,367.2173,32.1788,699.1010,422.7416,15.7739,162.7871,137.5488,1395.6783,327.4670,8743.1797,565.3380,4732.1822,17.0359,900.3765,468.1706,47.9528,2
