Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,6.0,0.0,6.0,12.0,0.75,0.5,1.0,1.0,0.5,0.0,0.33333333333333337,0.0,0.0,3.0
Pval<0.01,4.0,0.0,8.0,12.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.0,0.4,0.0,0.0,2.0
Pval<0.005,4.0,0.0,8.0,12.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.0,0.4,0.0,0.0,2.0
Chi>3.84,6.0,0.0,6.0,12.0,0.75,0.5,1.0,1.0,0.5,0.0,0.33333333333333337,0.0,0.0,7.0
Chi>7.68,4.0,0.0,8.0,12.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.0,0.4,0.0,0.0,3.0
Chi>15.36,2.0,0.0,10.0,12.0,0.5833333333333333,0.16666666666666669,1.0,1.0,0.8333333333333335,0.0,0.4545454545454545,0.0,0.0,2.0
TP-2FP>2,4.0,0.0,8.0,12.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.0,0.4,0.0,0.0,2.0
TP-2FP>3,2.0,0.0,10.0,12.0,0.5833333333333333,0.16666666666666669,1.0,1.0,0.8333333333333335,0.0,0.4545454545454545,0.0,0.0,1.0
TP-2FP>4,2.0,0.0,10.0,12.0,0.5833333333333333,0.16666666666666669,1.0,1.0,0.8333333333333335,0.0,0.4545454545454545,0.0,0.0,1.0
TP3_FP0,2.0,0.0,10.0,12.0,0.5833333333333333,0.16666666666666669,1.0,1.0,0.8333333333333335,0.0,0.4545454545454545,0.0,0.0,1.0
TP4_FP0,2.0,0.0,10.0,12.0,0.5833333333333333,0.16666666666666669,1.0,1.0,0.8333333333333335,0.0,0.4545454545454545,0.0,0.0,1.0
FP=0,4.0,0.0,8.0,12.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.0,0.4,0.0,0.0,2.0
All,6.7272727272727275,0.0,5.2727272727272725,12.0,0.7803030303030304,0.5606060606060606,1.0,1.0,0.4393939393939394,0.0,0.30303030303030304,0.0,0.0,18.0
