Name1	Name2
""	
ENSG00000255968	AC024145.1
ENSG00000072501	SMC1A
ENSG00000199287	
ENSG00000180053	NKX2-6
ENSG00000135956	TMEM127
ENSG00000236431	AC009237.8
ENSG00000066117	SMARCD1
ENSG00000231713	AF064860.2
ENSG00000164649	CDCA7L
ENSG00000213420	GPC2
ENSG00000172819	RARG
ENSG00000183770	FOXL2
ENSG00000177943	MAMDC4
ENSG00000238865	
ENSG00000232699	BDH2P1
ENSG00000248987	PRDX4P1
ENSG00000165115	KIF27
ENSG00000116044	NFE2L2
ENSG00000264765	AC098850.2
ENSG00000197085	NPSR1-AS1
ENSG00000225681	AC005730.1
ENSG00000232394	AC090696.1
ENSG00000186479	RGS7BP
ENSG00000230542	LINC00102
ENSG00000152661	GJA1
ENSG00000179091	CYC1
ENSG00000221303	SNORA79
ENSG00000124762	CDKN1A
ENSG00000269271	AC245036.5
ENSG00000175414	ARL10
ENSG00000231660	RPS8P6
ENSG00000174231	PRPF8
ENSG00000046651	OFD1
ENSG00000225597	
ENSG00000204837	FGF7P3
ENSG00000237910	MTCO1P18
ENSG00000261788	
ENSG00000139687	RB1
ENSG00000187051	RPS19BP1
ENSG00000207944	MIR574
ENSG00000255133	AC113192.2
ENSG00000221994	ZNF630
ENSG00000179071	CCDC89
ENSG00000164736	SOX17
ENSG00000260010	ZNF720P1
ENSG00000248621	AC108019.1
ENSG00000228007	AC011933.1
ENSG00000101868	POLA1
ENSG00000160867	FGFR4
ENSG00000238039	AC244197.2
ENSG00000100426	ZBED4
ENSG00000108384	RAD51C
ENSG00000238766	
ENSG00000162869	PPP1R21
ENSG00000149639	SOGA1
ENSG00000147852	VLDLR
ENSG00000242686	AC107464.1
ENSG00000253896	AC144568.2
ENSG00000233121	VN1R20P
ENSG00000233665	AC060234.2
ENSG00000234453	
ENSG00000007545	CRAMP1
ENSG00000226864	ATE1-AS1
ENSG00000236209	AC104135.1
ENSG00000167881	SRP68
ENSG00000252563	RNA5SP45
ENSG00000231334	AC104781.1
ENSG00000225289	RPL29P29
ENSG00000224914	LINC00863
ENSG00000167825	OR5I1
