,SA599177,SA599143,SA598026,SA598002,SA601548,SA598067,SA599175,SA599123,SA598046,SA599154,SA599107,SA598013,SA598029,SA599136,SA598027,SA598003,SA598017,SA599169,SA599118,SA601545,SA599102,SA599088,SA598025,SA599157,SA598014,SA599112,SA599132,SA598018,SA599094,SA598012,SA598062,SA599146,SA599092,SA599098,SA599166,SA598001,SA599104,SA598040
cg05302386,0.912909044,0.013217679,0.028816061,0.859956691,0.6882221,0.017343905,0.85547426,0.87553041,0.084871795,0.912115034,0.842700531,0.673984031,0.039149511,0.514351424,0.711585115,0.906577151,0.001231288,0.020649521,0.5380203,0.786229508,0.01377236,0.016186507,0.540305266,0.917165943,0.030103595,0.86290358,0.486865499,0.006865988,0.024965631,0.044726279,0.023541906,0.011850287,0.447954056,0.020772382,0.022651566,0.680155155,0.03328742,0.047474246
cg13348059,0.024210776,0.071551428,0.035413153,0.847763781,0.572026172,0.043664257,0.068807339,0.908895913,0.175548224,0.829780755,0.793148536,0.858214042,0.03036684,0.917604462,0.051454139,0.887558386,0.047787883,0.037668799,0.76193248,0.787589248,0.169692058,0.025742086,0.032290616,0.85875524,0.107950341,0.862606838,0.871232517,0.038865202,0.037547068,0.092806789,0.035273919,0.029124934,0.67886821,0.255163511,0.056886228,0.809650413,0.032268009,0.048044813
cg27189087,0.888254731,0.068849348,0.120030452,0.131442743,0.601512507,0.139292409,0.836927135,0.925298421,0.068481027,0.734031852,0.850427033,0.872067901,0.15151001,0.934580634,0.073442136,0.106487148,0.861910753,0.116067258,0.805655404,0.814917283,0.284966075,0.900169587,0.084567958,0.730914464,0.891243016,0.695952793,0.928542562,0.876806809,0.053610305,0.933713693,0.12186057,0.065134484,0.048495551,0.094265321,0.082985075,0.840616669,0.061185161,0.168788229
cg18456523,0.824580598,0.062639171,0.033346629,0.4418,0.734951414,0.016070843,0.77562497,0.928815412,0.120797848,0.798337996,0.013189001,0.901193055,0.044741697,0.843690459,0.801790002,0.441522234,0.02274852,0.04943493,0.728099455,0.819918982,0.019363644,0.021749538,0.651119403,0.85578576,0.042688679,0.084083719,0.77665162,0.016633903,0.032583645,0.04964468,0.02392101,0.017465442,0.070910655,0.015285599,0.02116537,0.889051853,0.049581884,0.025897355
cg10249375,0.855363013,0.033492823,0.038503597,0.059268458,0.27552655,0.019897477,0.829885946,0.926948318,0.218870198,0.765485514,0.599629834,0.899385684,0.06388056,0.870292992,0.021585557,0.036197823,0.010600507,0.015026371,0.774643906,0.704366848,0.362291871,0.098194043,0.012059759,0.787643133,0.82193581,0.570021447,0.908592827,0.018583109,0.018256994,0.888751747,0.041490262,0.009345794,0.119901112,0.450575126,0.039419188,0.855387609,0.049163991,0.049117175
cg05646373,0.836549563,0.029780141,0.027492153,0.410414633,0.576893182,0.29141257,0.821950071,0.894743437,0.114257162,0.037258614,0.788261851,0.873013195,0.035153544,0.951669557,0.026771452,0.437595029,0.006079566,0.029061669,0.736159027,0.72571516,0.008820463,0.014017349,0.026451694,0.020563535,0.041578698,0.86435154,0.940030852,0.019073062,0.01953055,0.171968757,0.279392043,0.016748366,0.090500898,0.019510506,0.026460015,0.904343746,0.019364789,0.033260857
cg12042659,0.837883402,0.653586546,0.007458405,0.035707466,0.562254065,0.012846282,0.793956339,0.861612176,0.067401575,0.786498289,0.218055436,0.82757149,0.017062006,0.916584253,0.397804403,0.044758892,0.803518296,0.025059102,0.674190606,0.714430233,0.00901727,0.053084032,0.220995161,0.830809174,0.072436348,0.251150246,0.922955223,0.775954624,0.02049447,0.036960113,0.012592271,0.701988156,0.011579093,0.018623582,0.003389601,0.778943805,0.016122098,0.014121
cg00002719,0.863426896,0.023644962,0.027024853,0.825006153,0.496993988,0.007077626,0.830483491,0.942936674,0.165787781,0.336324019,0.854406941,0.71868536,0.037013047,0.593064326,0.67042565,0.838569166,0.018488402,0.02383428,0.817127712,0.713814705,0.879475849,0.470338555,0.364627135,0.432883402,0.059223914,0.862864245,0.560819762,0.018272283,0.0258,0.063105998,0.007944389,0.024434156,0.034452343,0.851730359,0.014860068,0.81489842,0.033477218,0.037190813
cg00100121,0.836953631,0.057289499,0.024859246,0.709770828,0.503850711,0.015095216,0.791825659,0.912612666,0.108383058,0.274080348,0.838096065,0.841408815,0.025502465,0.694367177,0.6978619,0.790708952,0.01685148,0.019120149,0.816106111,0.701583226,0.81460749,0.609592194,0.429527174,0.214588399,0.066272278,0.851270083,0.574686717,0.016197705,0.018268771,0.06206804,0.028055623,0.01516472,0.014518188,0.843284777,0.024326466,0.834894714,0.028043519,0.027375625
cg03735888,0.816344086,0.631025364,0.020738722,0.047391952,0.516375641,0.013508443,0.819559623,0.850571005,0.094726204,0.734314863,0.147692027,0.823645288,0.020307155,0.895150824,0.332297087,0.055280669,0.745330671,0.012432996,0.617421714,0.693505012,0.012894549,0.058169042,0.218830761,0.818798848,0.069509831,0.218194969,0.917285043,0.763229844,0.018630315,0.052565947,0.01324122,0.695226496,0.063299087,0.016777664,0.020728372,0.788267819,0.024678112,0.020585373
