Mutation,TP,FP,FN,TN
X:144384890-144384890,0,3,10,25
15:29073936-29073936,3,0,7,28
9:33095938-33095938,0,3,10,25
4:107304197-107304197,0,3,10,25
14:29479937-29479937,0,4,10,24
5:165548819-165548819,0,3,10,25
5:142859605-142859605,0,3,10,25
4:138025166-138025166,0,3,10,25
21:22515813-22515813,0,3,10,25
5:83972545-83972545,0,3,10,25
17:77976308-77976308,0,4,10,24
5:27887089-27887089,0,3,10,25
19:14735945-14735945,0,4,10,24
6:821773-821773,0,4,10,24
6:100154108-100154108,0,4,10,24
17:14441210-14441210,0,4,10,24
6:170388505-170388505,0,3,10,25
2:186812849-186812849,0,3,10,25
3:129847918-129847918,0,4,10,24
5:174263804-174263804,0,3,10,25
16:27910388-27910388,0,4,10,24
18:10348222-10348222,0,3,10,25
11:38062494-38062494,0,4,10,24
14:48648692-48648692,0,3,10,25
8:124453299-124453299,0,3,10,25
11:20873615-20873615,0,3,10,25
1:228943739-228943739,0,3,10,25
2:78729876-78729876,0,3,10,25
15:24549316-24549316,0,4,10,24
11:99328764-99328764,0,3,10,25
5:12587065-12587065,0,3,10,25
X:129821041-129821041,0,3,10,25
13:28572078-28572078,0,3,10,25
11:55462161-55462161,0,3,10,25
18:20760583-20760583,0,3,10,25
3:32508183-32508183,0,3,10,25
1:149509883-149509883,0,3,10,25
7:35137441-35137441,3,4,7,24
X:126425729-126425729,0,4,10,24
14:100605373-100605373,0,4,10,24
X:65510986-65510986,0,4,10,24
20:40791844-40791844,0,3,10,25
1:239557873-239557873,0,4,10,24
6:127674537-127674537,0,3,10,25
X:139309411-139309411,0,3,10,25
2:125492274-125492274,0,3,10,25
15:97747491-97747491,0,4,10,24
4:119357011-119357011,0,3,10,25
9:131646142-131646142,0,3,10,25
2:17472550-17472550,0,3,10,25
6:32944244-32944244,0,4,10,24
7:112206084-112206084,0,3,10,25
11:100753337-100753337,0,3,10,25
3:543211-543211,3,0,7,28
18:71048651-71048651,0,3,10,25
18:68453568-68453568,0,3,10,25
2:156977575-156977575,0,4,10,24
3:127011445-127011445,0,3,10,25
1:50527694-50527694,0,4,10,24
14:58104434-58104434,0,3,10,25
7:1870599-1870599,0,3,10,25
7:40008473-40008473,0,3,10,25
9:119777237-119777237,0,3,10,25
3:117755477-117755477,0,4,10,24
6:66572123-66572123,0,3,10,25
6:91734916-91734916,0,3,10,25
10:108731267-108731267,0,3,10,25
1:216671007-216671007,0,4,10,24
6:90841001-90841001,0,4,10,24
4:44301475-44301475,0,3,10,25
17:75520220-75520220,0,3,10,25
14:96381633-96381633,0,4,10,24
2:161686366-161686366,0,3,10,25
14:41772013-41772013,0,3,10,25
9:106640649-106640649,0,3,10,25
9:125464068-125464068,0,3,10,25
4:115189439-115189439,0,4,10,24
X:7973315-7973315,0,3,10,25
5:55701124-55701124,0,3,10,25
11:103375639-103375639,0,4,10,24
1:169884773-169884773,0,4,10,24
14:98277366-98277366,0,3,10,25
20:50728858-50728858,0,3,10,25
16:17417447-17417447,0,3,10,25
3:33307890-33307890,0,3,10,25
5:111527672-111527672,0,3,10,25
8:48556869-48556869,0,3,10,25
6:87104544-87104544,0,4,10,24
3:36220126-36220126,0,3,10,25
8:115432088-115432088,0,3,10,25
11:124481194-124481194,0,3,10,25
4:47214110-47214110,0,3,10,25
5:6010648-6010648,0,4,10,24
11:48664858-48664858,0,4,10,24
7:13779044-13779044,0,3,10,25
10:82282878-82282878,0,3,10,25
X:90614550-90614550,1,3,9,25
20:60866425-60866425,0,4,10,24
9:73558994-73558994,0,3,10,25
20:54300288-54300288,0,3,10,25
16:22448440-22448440,0,3,10,25
15:48268430-48268430,0,3,10,25
11:120749332-120749332,3,0,7,28
10:21724881-21724881,0,4,10,24
11:55841090-55841090,0,4,10,24
5:23639918-23639918,0,4,10,24
3:44718846-44718846,0,4,10,24
5:26304914-26304914,0,4,10,24
17:20609663-20609663,0,4,10,24
8:49087672-49087672,0,4,10,24
7:51479101-51479101,2,1,8,27
1:242861821-242861821,0,4,10,24
1:33495252-33495252,0,3,10,25
5:154262023-154262023,0,4,10,24
8:52105123-52105123,0,3,10,25
6:120599541-120599541,0,3,10,25
20:60360405-60360405,0,3,10,25
6:168472257-168472257,0,3,10,25
5:53018106-53018106,0,4,10,24
1:36826996-36826996,0,3,10,25
19:14797076-14797076,0,3,10,25
2:58711923-58711923,0,3,10,25
11:12411195-12411195,0,4,10,24
16:10647411-10647411,0,3,10,25
10:23952987-23952987,0,4,10,24
4:66786263-66786263,0,3,10,25
5:41075316-41075316,1,3,9,25
3:2649864-2649864,0,3,10,25
11:133184827-133184827,0,3,10,25
9:14015210-14015210,0,3,10,25
17:426134-426134,0,4,10,24
3:186207121-186207121,0,4,10,24
8:85569658-85569658,0,4,10,24
2:113948758-113948758,0,4,10,24
11:49810184-49810184,0,3,10,25
6:110182564-110182564,0,3,10,25
15:92542027-92542027,0,4,10,24
6:159842482-159842482,0,4,10,24
12:25169528-25169528,0,3,10,25
5:103926924-103926924,0,3,10,25
19:34451724-34451724,0,3,10,25
6:64705927-64705927,0,3,10,25
1:214834415-214834415,0,3,10,25
3:39752913-39752913,3,0,7,28
9:90309310-90309310,0,3,10,25
8:1231560-1231560,0,4,10,24
2:44627981-44627981,0,3,10,25
6:72871636-72871636,0,3,10,25
1:67941736-67941736,0,3,10,25
13:63961939-63961939,0,3,10,25
12:34211178-34211178,0,3,10,25
15:24767154-24767154,0,4,10,24
2:241439571-241439571,0,4,10,24
3:130032551-130032551,0,4,10,24
17:43837857-43837857,0,3,10,25
19:15549214-15549214,0,3,10,25
1:26396794-26396794,0,4,10,24
5:75144546-75144546,0,3,10,25
18:63375995-63375995,0,3,10,25
3:162051672-162051672,0,3,10,25
3:163976860-163976860,0,4,10,24
3:79337583-79337583,0,3,10,25
2:18198635-18198635,0,3,10,25
3:68754428-68754428,0,3,10,25
4:61067838-61067838,0,3,10,25
8:73579355-73579355,0,3,10,25
18:69910870-69910870,0,3,10,25
3:75929045-75929045,0,3,10,25
18:35995852-35995852,0,4,10,24
X:154387426-154387426,0,4,10,24
16:31248466-31248466,0,3,10,25
6:69774824-69774824,0,3,10,25
9:97172473-97172473,3,0,7,28
6:32886064-32886064,0,3,10,25
11:115818334-115818334,0,3,10,25
13:59929362-59929362,0,3,10,25
7:97607318-97607318,2,3,8,25
1:227827735-227827735,0,4,10,24
7:83115413-83115413,0,3,10,25
6:53958208-53958208,0,3,10,25
1:63420970-63420970,0,3,10,25
9:116793472-116793472,0,4,10,24
2:13547727-13547727,0,4,10,24
20:10536723-10536723,0,3,10,25
14:50067371-50067371,3,0,7,28
4:189925094-189925094,0,3,10,25
14:63751675-63751675,0,4,10,24
10:110592221-110592221,0,3,10,25
7:121429783-121429783,0,4,10,24
13:54729779-54729779,0,3,10,25
19:46031336-46031336,0,3,10,25
6:117653653-117653653,0,3,10,25
4:22909593-22909593,0,3,10,25
7:85953976-85953976,0,3,10,25
X:143934741-143934741,0,3,10,25
8:108192408-108192408,0,4,10,24
1:181688639-181688639,0,3,10,25
5:4222075-4222075,0,3,10,25
19:4594407-4594407,0,4,10,24
7:102414094-102414094,1,3,9,25
3:50197759-50197759,0,4,10,24
2:46599224-46599224,0,4,10,24
11:99574014-99574014,0,3,10,25
10:97952522-97952522,0,3,10,25
1:29056367-29056367,0,3,10,25
12:17834124-17834124,0,3,10,25
9:24250967-24250967,0,4,10,24
19:56567047-56567047,2,1,8,27
5:50857838-50857838,0,3,10,25
2:91886116-91886116,4,0,6,28
16:30206010-30206010,0,4,10,24
7:108689747-108689747,0,4,10,24
9:42870387-42870387,3,0,7,28
2:45193765-45193765,0,3,10,25
7:66509949-66509949,1,2,9,26
18:68464929-68464929,0,3,10,25
5:32833921-32833921,0,3,10,25
1:163849444-163849444,0,3,10,25
11:109952779-109952779,0,3,10,25
7:41671121-41671121,0,3,10,25
6:130581372-130581372,0,3,10,25
19:1199347-1199347,0,3,10,25
4:87316136-87316136,0,3,10,25
17:5188343-5188343,0,3,10,25
1:52116224-52116224,0,3,10,25
7:76343909-76343909,3,0,7,28
2:37110150-37110150,0,3,10,25
3:165295340-165295340,0,3,10,25
3:104893715-104893715,0,3,10,25
8:52064649-52064649,0,3,10,25
8:5029781-5029781,0,3,10,25
1:91741941-91741941,0,4,10,24
2:104511514-104511514,0,4,10,24
1:242695323-242695323,0,4,10,24
7:76423822-76423822,3,0,7,28
1:11559570-11559570,0,4,10,24
12:41592158-41592158,0,4,10,24
5:13129649-13129649,0,4,10,24
5:148784411-148784411,0,3,10,25
1:220678890-220678890,0,3,10,25
18:22428113-22428113,0,3,10,25
4:66619757-66619757,0,3,10,25
6:25467103-25467103,0,4,10,24
9:99993852-99993852,0,3,10,25
13:36093980-36093980,0,4,10,24
6:58384140-58384140,0,3,10,25
1:181860458-181860458,0,3,10,25
3:197277485-197277485,0,3,10,25
1:156772137-156772137,0,3,10,25
9:106061279-106061279,0,3,10,25
9:23149015-23149015,0,4,10,24
11:18954986-18954986,0,3,10,25
12:101809363-101809363,0,3,10,25
7:9610614-9610614,0,3,10,25
X:116009347-116009347,0,4,10,24
1:202292823-202292823,0,3,10,25
1:243901403-243901403,0,3,10,25
20:37476956-37476956,0,4,10,24
11:69257990-69257990,0,3,10,25
11:89125014-89125014,1,2,9,26
1:219518298-219518298,0,3,10,25
10:127167628-127167628,0,4,10,24
2:1286841-1286841,0,4,10,24
10:51559087-51559087,0,4,10,24
11:110997524-110997524,0,4,10,24
18:42723042-42723042,0,3,10,25
1:108135134-108135134,0,3,10,25
4:105187615-105187615,0,3,10,25
2:203366804-203366804,0,3,10,25
5:75181355-75181355,0,3,10,25
7:30510653-30510653,0,3,10,25
19:34647288-34647288,0,3,10,25
2:157620276-157620276,0,4,10,24
14:20280820-20280820,0,3,10,25
3:17072390-17072390,0,3,10,25
1:229273356-229273356,0,4,10,24
7:92170509-92170509,0,3,10,25
2:145445761-145445761,0,3,10,25
2:225745298-225745298,0,3,10,25
16:22707522-22707522,0,3,10,25
12:60433939-60433939,0,3,10,25
16:16081830-16081830,0,3,10,25
10:97071139-97071139,0,3,10,25
3:166260522-166260522,0,3,10,25
13:56525193-56525193,0,4,10,24
4:164277770-164277770,0,3,10,25
1:76705356-76705356,0,4,10,24
13:66963355-66963355,0,4,10,24
2:32467031-32467031,0,3,10,25
19:22761838-22761838,0,4,10,24
9:76664676-76664676,0,3,10,25
7:86270081-86270081,0,4,10,24
